Name,Cost,Type,Effect
"Oko, the Trickster",{4}{G}{U},Legendary Planeswalker â€” Oko,"[+1]: Put two +1/+1 counters on up to one target creature you control. [0]: Until end of turn, Oko, the Trickster becomes a copy of target creature you control. Prevent all damage that would be dealt to him this turn. [âˆ’7]: Until end of turn, each creature you control has base power and toughness 10/10 and gains trample."
"Omnath, Locus of the Roil",{1}{G}{U}{R},Legendary Creature â€” Elemental,"When Omnath, Locus of the Roil enters the battlefield, it deals damage to any target equal to the number of Elementals you control. Whenever a land enters the battlefield under your control, put a +1/+1 counter on target Elemental you control. If you control eight or more lands, draw a card."
Omnispell Adept,{4}{U},Creature â€” Human Wizard,"{2}{U}, {T}: You may cast an instant or sorcery card from your hand without paying its mana cost."
On Alert,{2}{W},Instant â€” Adventure,Target creature gets +2/+2 until end of turn. Untap it. (Then exile this spell. You may cast the creature later from exile.)
Once Upon a Time,{1}{G},Instant,"If this spell is the first spell you've cast this game, you may cast it without paying its mana cost. Look at the top five cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in a random order."
Once and Future,{3}{G},Instant,"Return target card from your graveyard to your hand. Put up to one other target card from your graveyard on top of your library. Exile Once and Future. Adamant â€” If at least three green mana was spent to cast this spell, instead return those cards to your hand and exile Once and Future."
Open the Gates,{G},Sorcery,"Search your library for a basic land card or Gate card, reveal it, put it into your hand, then shuffle your library."
Opportunistic Dragon,{2}{R}{R},Creature â€” Dragon,"Flying When Opportunistic Dragon enters the battlefield, choose target Human or artifact an opponent controls. For as long as Opportunistic Dragon remains on the battlefield, gain control of that permanent, it loses all abilities, and it can't attack or block."
Opt,{U},Instant,Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.) Draw a card.
Order of Midnight,{1}{B},Creature â€” Human Knight,Flying Order of Midnight can't block.
Ornery Goblin,{1}{R},Creature â€” Goblin Warrior,"Whenever Ornery Goblin blocks or becomes blocked by a creature, Ornery Goblin deals 1 damage to that creature."
Orzhov Enforcer,{1}{B},Creature â€” Human Rogue,"Deathtouch Afterlife 1 (When this creature dies, create a 1/1 white and black Spirit creature token with flying.)"
Orzhov Guildgate,nan,Land â€” Gate,Orzhov Guildgate enters the battlefield tapped. {T}: Add {W} or {B}.
Orzhov Locket,{3},Artifact,"{T}: Add {W} or {B}. {W/B}{W/B}{W/B}{W/B}, {T}, Sacrifice Orzhov Locket: Draw two cards."
Orzhov Racketeers,{4}{B},Creature â€” Human Rogue,"Whenever Orzhov Racketeers deals combat damage to a player, that player discards a card. Afterlife 2 (When this creature dies, create two 1/1 white and black Spirit creature tokens with flying.)"
Outflank,{W},Instant,Outflank deals damage to target attacking or blocking creature equal to the number of creatures you control.
Outlaws' Merriment,{1}{R}{W}{W},Enchantment,"At the beginning of your upkeep, choose one at random. Create a red and white creature token with those characteristics. â€¢ 3/1 Human Warrior with trample and haste. â€¢ 2/1 Human Cleric with lifelink and haste. â€¢ 1/2 Human Rogue with haste and ""When this creature enters the battlefield, it deals 1 damage to any target."""
Outmuscle,{3}{G},Sorcery,"Put a +1/+1 counter on target creature you control, then it fights target creature you don't control. (Each deals damage equal to its power to the other.) Adamant â€” If at least three green mana was spent to cast this spell, the creature you control gains indestructible until end of turn."
Overcome,{3}{G}{G},Sorcery,Creatures you control get +2/+2 and gain trample until end of turn. (They can deal excess combat damage to the player or planeswalker they're attacking.)
Overgrown Tomb,nan,Land â€” Swamp Forest,"({T}: Add {B} or {G}.) As Overgrown Tomb enters the battlefield, you may pay 2 life. If you don't, it enters the battlefield tapped."
Overgrowth Elemental,{2}{G},Creature â€” Elemental,"When Overgrowth Elemental enters the battlefield, put a +1/+1 counter on another target Elemental you control. Whenever another creature you control dies, you gain 1 life. If that creature was an Elemental, put a +1/+1 counter on Overgrowth Elemental."
Overwhelmed Apprentice,{U},Creature â€” Human Wizard,"When Overwhelmed Apprentice enters the battlefield, each opponent puts the top two cards of their library into their graveyard. Then you scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
Pacifism,{1}{W},Enchantment â€” Aura,Enchant creature Enchanted creature can't attack or block.
Pack Mastiff,{1}{R},Creature â€” Hound,{1}{R}: Each creature you control named Pack Mastiff gets +1/+0 until end of turn.
Pack's Favor,{2}{G},Instant,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Target creature gets +3/+3 until end of turn.
Paradise Druid,{1}{G},Creature â€” Elf Druid,Paradise Druid has hexproof as long as it's untapped.(It can't be the target of spells or abilities your opponents control.) {T}: Add one mana of any color.
Parhelion II,{6}{W}{W},Legendary Artifact â€” Vehicle,"Flying, first strike, vigilance Whenever Parhelion II attacks, create two 4/4 white Angel creature tokens with flying and vigilance that are attacking. Crew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)"
Parhelion Patrol,{3}{W},Creature â€” Human Knight,"Flying, vigilance Mentor (Whenever this creature attacks, put a +1/+1 counter on target attacking creature with lesser power.)"
Passwall Adept,{1}{U},Creature â€” Human Wizard,{2}{U}: Target creature can't be blocked this turn.
Pattern Matcher,{4},Artifact Creature â€” Golem,"When Pattern Matcher enters the battlefield, you may search your library for a card with the same name as another creature you control, reveal it, put it into your hand, then shuffle your library."
Pause for Reflection,{2}{G},Instant,Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.) Prevent all combat damage that would be dealt this turn.
Pelt Collector,{G},Creature â€” Elf Warrior,"Whenever another creature you control enters the battlefield or dies, if that creature's power is greater than Pelt Collector's, put a +1/+1 counter on Pelt Collector. As long as Pelt Collector has three or more +1/+1 counters on it, it has trample."
Persistent Petitioners,{1}{U},Creature â€” Human Advisor,"{1}, {T}: Target player puts the top card of their library into their graveyard. Tap four untapped Advisors you control: Target player puts the top twelve cards of their library into their graveyard. A deck can have any number of cards named Persistent Petitioners."
Pestilent Spirit,{2}{B},Creature â€” Spirit,"Menace, deathtouch Instant and sorcery spells you control have deathtouch. (Any amount of damage they deal to a creature is enough to destroy it.)"
Petty Theft,{1}{U},Instant â€” Adventure,Return target nonland permanent an opponent controls to its owner's hand.
Phantom Warrior,{1}{U}{U},Creature â€” Illusion Warrior,Phantom Warrior can't be blocked.
Pilfering Imp,{B},Creature â€” Imp,"Flying {1}{B}, {T}, Sacrifice Pilfering Imp: Target opponent reveals their hand. You choose a nonland card from it. That player discards that card. Activate this ability only any time you could cast a sorcery."
Piper of the Swarm,{1}{B},Creature â€” Human Warlock,"Rats you control have menace. {1}{B}, {T}: Create a 1/1 black Rat creature token. {2}{B}{B}, {T}, Sacrifice three Rats: Gain control of target creature."
Piston-Fist Cyclops,{1}{U/R}{U/R},Creature â€” Cyclops,"Defender As long as you've cast an instant or sorcery spell this turn, Piston-Fist Cyclops can attack as though it didn't have defender."
Pitiless Gorgon,{1}{B/G}{B/G},Creature â€” Gorgon,Deathtouch
Pitiless Pontiff,{W}{B},Creature â€” Vampire Cleric,"{1}, Sacrifice another creature: Pitiless Pontiff gains deathtouch and indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)"
Plague Wight,{1}{B},Creature â€” Zombie,"Whenever Plague Wight becomes blocked, each creature blocking it gets -1/-1 until end of turn."
Plaguecrafter,{2}{B},Creature â€” Human Shaman,"When Plaguecrafter enters the battlefield, each player sacrifices a creature or planeswalker. Each player who can't discards a card."
Plains,nan,Basic Land â€” Plains,({T}: Add {W}.)
Planar Cleansing,{3}{W}{W}{W},Sorcery,Destroy all nonland permanents.
Planewide Celebration,{5}{G}{G},Sorcery,Choose four. You may choose the same mode more than once. â€¢ Create a 2/2 Citizen creature token that's all colors. â€¢ Return target permanent card from your graveyard to your hand. â€¢ Proliferate. â€¢ You gain 4 life.
Plaza of Harmony,nan,Land,"When Plaza of Harmony enters the battlefield, if you control two or more Gates, you gain 3 life. {T}: Add {C}. {T}: Add one mana of any type that a Gate you control could produce."
Pledge of Unity,{1}{G}{W},Instant,Put a +1/+1 counter on each creature you control. You gain 1 life for each creature you control.
Plummet,{1}{G},Instant,Destroy target creature with flying.
Pollenbright Druid,{1}{G},Creature â€” Elf Druid,"When Pollenbright Druid enters the battlefield, choose one â€” â€¢ Put a +1/+1 counter on target creature. â€¢ Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)"
Portal of Sanctuary,{2}{U},Artifact,"{1}, {T}: Return target creature you control and each Aura attached to it to their owners' hands. Activate this ability only during your turn."
Portcullis Vine,{G},Creature â€” Plant Wall,"Defender {2}, {T}, Sacrifice a creature with defender: Draw a card."
Pouncing Lynx,{1}{W},Creature â€” Cat,"As long as it's your turn, Pouncing Lynx has first strike."
Precision Bolt,{2}{R},Sorcery,Precision Bolt deals 3 damage to any target.
Precognitive Perception,{3}{U}{U},Instant,"Draw three cards. Addendum â€” If you cast this spell during your main phase, instead scry 3, then draw three cards."
Prey Upon,{G},Sorcery,Target creature you control fights target creature you don't control. (Each deals damage equal to its power to the other.)
Price of Betrayal,{B},Sorcery,"Remove up to five counters from target artifact, creature, planeswalker, or opponent."
Price of Fame,{3}{B},Instant,"This spell costs {2} less to cast if it targets a legendary creature. Destroy target creature. Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)"
